title,adress,salary,distanceFromAAU,workingHours,timeWalk,timeBike,timePublic,timeCar

Barista,Vesterbrogade 42,145.0,7.5,15,90,30,25,15
Kassemedarbejder,Rødovre Centrum,150.0,15.0,20,180,45,35,20
Studentermedhjælper i IT, Amager Strandvej 100 ,175.0,6.0,15,75,25,20,10
Callcenter Operatør, Sydhavnsgade 15 ,130.0,10.0,17.5,120,35,30,15
Servicemedarbejder, Frederiksberg Allé 58 ,155.0,8.5,15,105,30,25,12
Biblioteksassistent, Lyngby Bibliotek ,140.0,14.0,20,170,50,40,25
Serveringspersonale, Tivoli Hovedindgang ,160.0,7.0,15,85,28,20,10
Butiksmedarbejder, Nørrebrogade 74 ,145.0,6.5,15,80,25,18,10
Eventmedarbejder, København Zoo ,170.0,9.0,17.5,110,35,30,15
Fitnessinstruktør, Glostrup Sportshal ,185.0,18.0,25,210,60,45,30
Receptionist, Hvidovrevej 90 ,160.0,11.0,17.5,140,40,30,15
Barassistent, Halmtorvet 29 ,150.0,7.8,15,100,30,25,12
Lagerassistent, Kanalvej 10 ,145.0,15.5,20,190,55,40,25
Kundeservice, Amager Centeret ,175.0,5.5,12.5,70,22,18,8
Skolesekretær, Gladsaxe Skole ,155.0,12.0,20,150,45,35,20
Social Media Assistent, Ørestads Boulevard 35 ,165.0,4.0,10,50,15,12,6
Promoter, Frederiksborggade 10 ,200.0,7.0,15,85,25,20,10
Lagermedarbejder, Hellerupvej 21 ,150.0,10.5,17.5,130,40,30,18
Barnepige, Amagerbrogade 89 ,140.0,6.2,15,70,20,18,9
Køkkenmedhjælper, Nørreport Station ,145.0,7.3,15,85,25,20,10
Postsorterer, Østerbrogade 112 ,155.0,9.0,17.5,110,35,28,14
Teknisk Support, Ringstedvej 3 ,165.0,12.8,20,145,45,35,22
Butiksassistent, Vesterbro Torv 5 ,145.0,8.0,15,95,28,22,12
Kioskmedarbejder, Langelinie Allé 17 ,135.0,9.5,17.5,115,35,28,15
Cafémedarbejder, Godthåbsvej 88 ,150.0,8.7,15,100,30,25,13
Salgskonsulent, Islands Brygge 30 ,175.0,5.3,12.5,60,20,18,7
Serveringspersonale, Grønnegade 10 ,160.0,6.8,15,85,25,20,10
Fitnesscenter Rengøring, Købmagergade 37 ,145.0,7.5,15,90,30,25,15
Skoassistent, Fields Shoppingcenter ,150.0,6.0,15,75,22,18,9
Museumsmedhjælper, Statens Museum for Kunst ,160.0,8.5,15,105,30,25,12
Pladsmand, Bispebjerg Station ,145.0,10.5,17.5,130,40,30,18
Byggemarked Assistent, Frederikssundsvej 150 ,150.0,13.0,20,160,45,35,20
Cykelbud, Nørrebro Station ,155.0,6.7,15,85,25,20,10
Receptionist, Bredgade 42 ,160.0,7.9,17.5,95,28,22,12
Rengøringsassistent, Roskildevej 200 ,145.0,11.5,20,140,40,30,18
Tøjbutiksmedarbejder, Strøget 38 ,150.0,8.3,15,100,30,25,13
Serveringsmedarbejder, Øster Voldgade 15 ,160.0,7.0,10,90,30,20,10
Caféhjælper, Rantzausgade 22 ,145.0,8.5,4,100,30,25,12
Skoleassistent, Emdrupvej 72 ,155.0,10.0,20,130,40,35,18
Barista, Rådhuspladsen 3 ,150.0,6.5,15,80,25,18,10
Kassemedarbejder, Frederiksborgvej 120 ,150.0,9.0,25,115,35,30,15
Rengøringsassistent, Valby Langgade 50 ,140.0,11.5,20,140,40,30,18
Receptionist, Hovedbanegården 1 ,160.0,7.0,15,90,30,25,12
Promoter, Gothersgade 30 ,200.0,6.0,5,70,20,15,10
SoMe Manager, Frederiksborggade 11 ,180.0,5.5,4,60,18,12,8
Pædagogmedhjælper, Øster Farimagsgade 18 ,155.0,9.0,20,120,35,25,14
Boghandler, Løvstræde 6 ,150.0,7.5,15,85,28,20,12
Kulturhusassistent, Nyhavn 20 ,165.0,6.8,10,75,22,15,9
Tjener, Nørreport 4 ,160.0,7.0,15,90,30,25,10
Biblioteksvagt, Kongens Nytorv 1 ,140.0,6.5,12.5,80,25,18,10
Kontormedhjælper, Sankt Annæ Plads 36 ,175.0,5.0,8,50,15,10,7
Piccolo, Langelinie Allé 7 ,150.0,7.8,10,90,30,20,12
Lufthavnsmedarbejder, Amager Landevej 22 ,155.0,4.5,15,65,20,15,8
Kasseassistent, Enghave Plads 15 ,145.0,8.3,20,110,35,28,15
Børnepasser, Holmen 8 ,145.0,6.2,4,70,20,12,7
Kioskassistent, Tivoli Allé 5 ,140.0,6.8,15,85,25,20,10
Fitnessinstruktør, Sundbyvester Plads 3 ,180.0,9.0,12.5,120,35,30,18
Cafébar Assistent, Strandvejen 200 ,170.0,8.0,5,95,30,25,15
Museumsformidler, Christiansborg Slotsplads 1 ,165.0,7.5,10,90,30,20,10
Frivillig Koordinator, Nørrebrogade 45 ,130.0,8.2,4,100,28,22,15
Skolevikar, Borups Allé 74 ,150.0,10.0,20,120,40,30,18
Rådgiver, Amagerfælledvej 10 ,175.0,6.5,15,80,25,20,10
Lagermedarbejder, Vigerslev Allé 11 ,145.0,8.7,25,115,35,28,15
Callcenter Medarbejder, Hillerødgade 72 ,155.0,9.5,17.5,120,40,30,18
Bogholderassistent, Prags Boulevard 56 ,180.0,5.2,10,60,22,15,9
falsk job, falsk adresse, 2000.0,5.2,10,60,22,15,9
